word	postive count	negative count	totalscore	accuracy
	99	81	18	0.55
yellow	0	1	-1	1.0
four	4	1	3	0.8
woods	1	2	-1	0.666666666667
hanging	0	1	-1	1.0
woody	3	1	2	0.75
aggression	0	1	-1	1.0
conjure	0	2	-2	1.0
someplace	1	0	1	1.0
mutinies	0	1	-1	1.0
meadows	1	0	1	1.0
shaving	0	1	-1	1.0
courtmartial	1	0	1	1.0
forties	0	1	-1	1.0
leisurely	1	0	1	1.0
screaming	0	1	-1	1.0
disturb	1	0	1	1.0
sommerset	0	1	-1	1.0
kitcar	1	0	1	1.0
differentiates	0	1	-1	1.0
stereotypical	1	1	0	0.5
commented	1	0	1	1.0
charter	0	1	-1	1.0
milles	1	0	1	1.0
bacon	1	0	1	1.0
tires	0	1	-1	1.0
second	7	8	-1	0.533333333333
francesca	0	1	-1	1.0
theory	3	0	3	1.0
sesame	1	0	1	1.0
bufford	0	5	-5	1.0
dialogs	1	0	1	1.0
bittorrent	1	0	1	1.0
ruthless	2	2	0	0.5
cooking	1	0	1	1.0
fingers	2	0	2	1.0
succumb	1	0	1	1.0
hero	2	5	-3	0.714285714286
dahl	1	0	1	1.0
reporter	1	1	0	0.5
error	1	0	1	1.0
here	16	0	16	1.0
hers	3	0	3	1.0
kids	4	4	0	0.5
k	0	1	-1	1.0
transfixed	1	0	1	1.0
natures	1	0	1	1.0
military	1	1	0	0.5
criticism	1	0	1	1.0
golden	2	0	2	1.0
explained	1	0	1	1.0
brought	4	0	4	1.0
cheating	0	1	-1	1.0
spoke	1	2	-1	0.666666666667
poetype	0	1	-1	1.0
antieye	0	1	-1	1.0
music	2	2	0	0.5
therefore	1	5	-4	0.833333333333
strike	0	2	-2	1.0
until	8	3	5	0.727272727273
brings	5	1	4	0.833333333333
hurt	1	2	-1	0.666666666667
meteorologist	0	1	-1	1.0
glass	1	0	1	1.0
91	0	1	-1	1.0
90	0	3	-3	1.0
hold	3	1	2	0.75
circumstances	1	0	1	1.0
morally	0	1	-1	1.0
pursue	0	1	-1	1.0
blade	1	0	1	1.0
example	3	3	0	0.5
organized	0	1	-1	1.0
charlton	2	0	2	1.0
caution	0	1	-1	1.0
want	18	7	11	0.72
absolute	3	0	3	1.0
hoe	0	2	-2	1.0
turn	2	2	0	0.5
travel	0	2	-2	1.0
feature	0	2	-2	1.0
machine	1	0	1	1.0
how	37	21	16	0.637931034483
hot	7	3	4	0.7
machina	0	1	-1	1.0
place	3	4	-1	0.571428571429
typed	1	0	1	1.0
wrong	3	5	-2	0.625
types	2	0	2	1.0
fictional	1	0	1	1.0
tulip	3	0	3	1.0
18th	0	1	-1	1.0
keeps	4	1	3	0.8
wing	1	0	1	1.0
wind	1	0	1	1.0
dolemite	1	0	1	1.0
welcomed	0	1	-1	1.0
dreamed	0	1	-1	1.0
confederate	1	2	-1	0.666666666667
welcomes	1	0	1	1.0
lovingly	0	1	-1	1.0
fit	0	4	-4	1.0
bringing	2	0	2	1.0
fix	1	0	1	1.0
survivors	1	0	1	1.0
sadomania	0	1	-1	1.0
hidden	1	1	0	0.5
glorify	1	0	1	1.0
pontificating	0	1	-1	1.0
effects	1	4	-3	0.8
schools	1	0	1	1.0
sixteen	0	1	-1	1.0
represents	1	0	1	1.0
simialr	1	0	1	1.0
debut	0	2	-2	1.0
barton	1	0	1	1.0
volcano	1	0	1	1.0
loyalties	0	1	-1	1.0
burial	1	0	1	1.0
preceded	1	0	1	1.0
financial	3	0	3	1.0
archetypes	1	0	1	1.0
series	12	3	9	0.8
allan	0	1	-1	1.0
saturdayafternoon	1	0	1	1.0
ring	0	1	-1	1.0
whoosh	0	1	-1	1.0
mason	0	1	-1	1.0
re	1	0	1	1.0
adapt	0	1	-1	1.0
outburst	1	0	1	1.0
gertrude	2	0	2	1.0
knit	1	0	1	1.0
enormous	1	0	1	1.0
ate	1	0	1	1.0
atm	0	1	-1	1.0
fleischer	1	0	1	1.0
disturbed	2	0	2	1.0
coeds	1	0	1	1.0
tempting	0	1	-1	1.0
flitting	0	1	-1	1.0
holbrook	1	0	1	1.0
playfully	1	0	1	1.0
wash	1	0	1	1.0
popularist	0	1	-1	1.0
cubbyhouse	0	1	-1	1.0
bitten	1	0	1	1.0
carson	1	0	1	1.0
service	1	3	-2	0.75
returns	0	1	-1	1.0
needed	1	1	0	0.5
master	3	2	1	0.6
hewitt	1	0	1	1.0
geneva	0	1	-1	1.0
showed	1	1	0	0.5
rusty	0	1	-1	1.0
nations	0	1	-1	1.0
project	1	1	0	0.5
idle	0	1	-1	1.0
sheen	1	0	1	1.0
feeling	3	7	-4	0.7
boston	1	0	1	1.0
corny	1	0	1	1.0
alive	1	0	1	1.0
dozen	0	1	-1	1.0
divas	0	1	-1	1.0
responsible	1	2	-1	0.666666666667
causing	0	1	-1	1.0
amusing	0	2	-2	1.0
shall	1	0	1	1.0
object	1	1	0	0.5
cinematic	1	0	1	1.0
victoria	1	0	1	1.0
mouth	2	1	1	0.666666666667
letter	2	0	2	1.0
drought	1	0	1	1.0
thriller	1	2	-1	0.666666666667
morality	0	1	-1	1.0
singer	1	1	0	0.5
episode	5	8	-3	0.615384615385
released	3	2	1	0.6
camp	7	3	4	0.7
tech	1	0	1	1.0
mating	1	0	1	1.0
came	4	3	1	0.571428571429
saying	6	2	4	0.75
twee	0	1	-1	1.0
lessons	1	1	0	0.5
orleans	3	0	3	1.0
busy	1	4	-3	0.8
quaint	1	1	0	0.5
than	32	18	14	0.64
theme	1	0	1	1.0
touched	1	0	1	1.0
rich	0	1	-1	1.0
mend	0	1	-1	1.0
plata	1	0	1	1.0
godzilla	1	0	1	1.0
pocket	0	1	-1	1.0
altogether	0	1	-1	1.0
societies	1	0	1	1.0
sandwich	1	0	1	1.0
hercules	0	1	-1	1.0
release	7	0	7	1.0
blew	1	1	0	0.5
mandatory	0	1	-1	1.0
fair	2	0	2	1.0
deemed	1	0	1	1.0
result	1	1	0	0.5
fail	1	1	0	0.5
hammer	2	0	2	1.0
ambitions	1	0	1	1.0
lots	2	3	-1	0.6
ringu	2	0	2	1.0
pressures	1	0	1	1.0
score	1	0	1	1.0
paxinou	1	0	1	1.0
discipline	0	1	-1	1.0
never	19	15	4	0.558823529412
nature	8	1	7	0.888888888889
rolled	1	0	1	1.0
carbon	1	0	1	1.0
accident	1	3	-2	0.75
country	6	7	-1	0.538461538462
comedydrama	0	2	-2	1.0
edgar	0	1	-1	1.0
planned	0	1	-1	1.0
logic	0	1	-1	1.0
adapted	0	1	-1	1.0
asked	4	0	4	1.0
irresponsible	1	0	1	1.0
humming	1	0	1	1.0
100	0	1	-1	1.0
naivete	1	0	1	1.0
frf	2	0	2	1.0
union	2	1	1	0.666666666667
much	13	12	1	0.52
life	30	10	20	0.75
electrocution	0	1	-1	1.0
eastern	1	1	0	0.5
filmmaker	1	0	1	1.0
southerners	1	0	1	1.0
child	5	8	-3	0.615384615385
1991s	1	0	1	1.0
chill	0	1	-1	1.0
gritty	1	0	1	1.0
employ	1	0	1	1.0
calcium	0	2	-2	1.0
slam	1	0	1	1.0
played	5	5	0	0.5
elicit	0	1	-1	1.0
hong	2	0	2	1.0
credit	1	1	0	0.5
things	7	7	0	0.5
rebellion	1	0	1	1.0
harmony	1	0	1	1.0
european	2	1	1	0.666666666667
fairly	1	1	0	0.5
preachy	1	0	1	1.0
ownership	1	0	1	1.0
lucas	1	0	1	1.0
echoes	1	0	1	1.0
opinions	0	1	-1	1.0
boyhood	0	1	-1	1.0
sleeps	1	0	1	1.0
sleepy	1	0	1	1.0
disguise	1	0	1	1.0
portrayed	0	3	-3	1.0
succeeding	1	0	1	1.0
previous	5	1	4	0.833333333333
enters	0	1	-1	1.0
hal	1	0	1	1.0
coatesville	1	0	1	1.0
ease	2	0	2	1.0
had	33	34	-1	0.507462686567
emphasis	0	1	-1	1.0
innocent	1	0	1	1.0
prison	0	3	-3	1.0
has	68	33	35	0.673267326733
hat	3	2	1	0.6
casually	0	1	-1	1.0
survival	1	0	1	1.0
possible	2	4	-2	0.666666666667
awhile	0	1	-1	1.0
possibly	1	2	-1	0.666666666667
birth	2	0	2	1.0
shadow	1	0	1	1.0
unique	1	0	1	1.0
vigilante	1	0	1	1.0
occurring	0	1	-1	1.0
desire	1	0	1	1.0
psychological	1	1	0	0.5
alice	0	4	-4	1.0
remind	1	0	1	1.0
steps	2	0	2	1.0
prologue	0	1	-1	1.0
right	10	2	8	0.833333333333
old	13	15	-2	0.535714285714
ole	1	0	1	1.0
crowd	1	2	-1	0.666666666667
people	50	17	33	0.746268656716
crown	1	0	1	1.0
captive	1	0	1	1.0
sure	13	4	9	0.764705882353
warring	0	1	-1	1.0
harassment	1	0	1	1.0
creep	0	1	-1	1.0
for	129	98	31	0.568281938326
bottom	1	1	0	0.5
oliviers	1	0	1	1.0
contributing	1	0	1	1.0
theological	1	0	1	1.0
shakey	1	0	1	1.0
starring	2	1	1	0.666666666667
losing	1	0	1	1.0
zentropa	2	0	2	1.0
o	0	2	-2	1.0
despair	2	0	2	1.0
geroge	1	0	1	1.0
palestinians	0	1	-1	1.0
slightly	1	1	0	0.5
raised	0	3	-3	1.0
facility	1	0	1	1.0
honeymoon	0	1	-1	1.0
sol	1	0	1	1.0
soo	2	0	2	1.0
son	3	5	-2	0.625
beings	1	0	1	1.0
shoots	1	1	0	0.5
authorizes	1	0	1	1.0
abstractions	1	0	1	1.0
nonthreatening	1	0	1	1.0
constantly	2	0	2	1.0
tame	0	1	-1	1.0
avail	1	0	1	1.0
joseph	2	2	0	0.5
resulted	1	0	1	1.0
halls	1	0	1	1.0
happy	2	2	0	0.5
understorey	1	0	1	1.0
offer	0	1	-1	1.0
storyteling	0	1	-1	1.0
remarking	1	0	1	1.0
talents	3	3	0	0.5
understandable	1	0	1	1.0
otter	0	1	-1	1.0
silliness	0	1	-1	1.0
inside	3	0	3	1.0
torturing	1	1	0	0.5
150	0	1	-1	1.0
shooter	2	0	2	1.0
proved	1	0	1	1.0
proves	1	0	1	1.0
exist	2	0	2	1.0
aircrew	1	0	1	1.0
floor	0	1	-1	1.0
cambodia	0	1	-1	1.0
role	8	7	1	0.533333333333
ambitious	1	0	1	1.0
benefiting	1	0	1	1.0
muslims	0	1	-1	1.0
rolling	1	1	0	0.5
downloaders	1	0	1	1.0
shootout	0	1	-1	1.0
ethnocentrism	0	1	-1	1.0
chain	1	0	1	1.0
whoever	1	2	-1	0.666666666667
reviewers	1	0	1	1.0
theaters	2	0	2	1.0
armstrongs	0	1	-1	1.0
jarring	1	0	1	1.0
skiing	0	1	-1	1.0
chair	0	1	-1	1.0
92	1	0	1	1.0
veterans	1	0	1	1.0
jerk	3	0	3	1.0
rapturous	1	0	1	1.0
bustle	1	0	1	1.0
stays	1	1	0	0.5
exact	0	1	-1	1.0
minute	1	0	1	1.0
solves	1	0	1	1.0
tear	1	0	1	1.0
skewed	1	0	1	1.0
leave	9	2	7	0.818181818182
belushi	0	1	-1	1.0
team	1	2	-1	0.666666666667
loads	0	1	-1	1.0
insignificant	1	0	1	1.0
sigh	1	0	1	1.0
sign	0	2	-2	1.0
erotic	0	1	-1	1.0
donlon	2	0	2	1.0
realizing	1	0	1	1.0
reminiscent	2	0	2	1.0
freaks	1	0	1	1.0
falling	1	1	0	0.5
ground	2	0	2	1.0
unintentionally	1	0	1	1.0
cribbing	0	1	-1	1.0
grandparents	1	0	1	1.0
funeral	0	1	-1	1.0
lange	0	1	-1	1.0
understanding	1	1	0	0.5
gladys	0	4	-4	1.0
egypt	0	1	-1	1.0
yards	0	1	-1	1.0
address	0	1	-1	1.0
alone	3	2	1	0.6
along	6	1	5	0.857142857143
dwindling	1	0	1	1.0
crumbles	1	0	1	1.0
redemption	1	0	1	1.0
castaways	2	0	2	1.0
griffiths	2	0	2	1.0
actualization	1	0	1	1.0
marvelous	1	0	1	1.0
fake	1	1	0	0.5
luzhin	1	0	1	1.0
undergone	0	1	-1	1.0
working	5	4	1	0.555555555556
positive	1	0	1	1.0
angry	2	1	1	0.666666666667
opposed	1	0	1	1.0
wondering	2	0	2	1.0
films	22	10	12	0.6875
introducing	0	1	-1	1.0
afford	0	1	-1	1.0
apparent	1	0	1	1.0
validity	0	1	-1	1.0
visual	1	0	1	1.0
virtue	3	0	3	1.0
anything	5	9	-4	0.642857142857
originally	0	1	-1	1.0
privy	1	0	1	1.0
harmonious	0	1	-1	1.0
following	6	2	4	0.75
admired	0	1	-1	1.0
locks	1	1	0	0.5
admires	1	0	1	1.0
allowed	4	0	4	1.0
evidently	1	0	1	1.0
listens	1	0	1	1.0
winter	2	0	2	1.0
divided	0	1	-1	1.0
immune	1	0	1	1.0
elephant	3	0	3	1.0
spot	2	2	0	0.5
convincingly	1	0	1	1.0
date	1	1	0	0.5
such	10	5	5	0.666666666667
suck	0	1	-1	1.0
data	1	1	0	0.5
stress	0	1	-1	1.0
natural	5	1	4	0.833333333333
conscious	0	1	-1	1.0
ss	0	1	-1	1.0
sp	1	0	1	1.0
st	0	1	-1	1.0
ediths	1	0	1	1.0
so	55	30	25	0.647058823529
2530	0	1	-1	1.0
pulled	0	1	-1	1.0
drunken	0	1	-1	1.0
16year	1	0	1	1.0
years	21	12	9	0.636363636364
professors	1	0	1	1.0
course	9	4	5	0.692307692308
episodes	3	2	1	0.6
milked	1	0	1	1.0
jim	2	0	2	1.0
troubles	1	0	1	1.0
stroll	0	1	-1	1.0
decades	0	2	-2	1.0
civilian	0	1	-1	1.0
insomnia	1	0	1	1.0
nation	1	0	1	1.0
amulet	0	1	-1	1.0
drilling	1	0	1	1.0
arriving	1	0	1	1.0
ketchup	0	1	-1	1.0
breakumentary	1	0	1	1.0
didn	1	0	1	1.0
establishing	1	0	1	1.0
lucci	0	1	-1	1.0
quarter	1	0	1	1.0
quartet	0	1	-1	1.0
lowkey	1	0	1	1.0
entering	1	0	1	1.0
sexually	0	1	-1	1.0
denouement	1	0	1	1.0
grrrrrrrrrr	0	1	-1	1.0
astray	1	0	1	1.0
seriously	1	2	-1	0.666666666667
investigation	1	1	0	0.5
internet	1	0	1	1.0
suggesting	0	1	-1	1.0
formula	3	1	2	0.75
million	2	0	2	1.0
quite	6	6	0	0.5
bumps	1	0	1	1.0
crazier	1	0	1	1.0
besides	3	2	1	0.6
quits	0	1	-1	1.0
unnamed	1	0	1	1.0
training	2	5	-3	0.714285714286
silhouetted	0	1	-1	1.0
disguised	1	0	1	1.0
massive	0	1	-1	1.0
neglect	1	0	1	1.0
emotion	1	1	0	0.5
henry	0	4	-4	1.0
saving	0	2	-2	1.0
spoken	1	1	0	0.5
one	87	81	6	0.517857142857
spanish	1	1	0	0.5
vote	1	0	1	1.0
open	3	0	3	1.0
city	9	5	4	0.642857142857
indicate	0	1	-1	1.0
teacher	0	1	-1	1.0
2	6	11	-5	0.647058823529
realization	1	0	1	1.0
bits	0	1	-1	1.0
lingering	0	1	-1	1.0
slasher	0	1	-1	1.0
tuneful	0	1	-1	1.0
devito	1	0	1	1.0
hitchhikersjuliette	1	0	1	1.0
herds	1	0	1	1.0
boyfriend	0	2	-2	1.0
third	0	3	-3	1.0
folly	1	0	1	1.0
coats	0	1	-1	1.0
future	4	1	3	0.8
glossy	1	0	1	1.0
counselor	1	0	1	1.0
dutifully	1	0	1	1.0
san	4	0	4	1.0
turned	2	3	-1	0.6
locations	1	0	1	1.0
sad	3	0	3	1.0
say	13	19	-6	0.59375
allen	3	1	2	0.75
saw	18	7	11	0.72
sat	0	1	-1	1.0
zoe	0	2	-2	1.0
alias	0	1	-1	1.0
warriors	1	0	1	1.0
zoo	0	1	-1	1.0
note	4	0	4	1.0
take	8	11	-3	0.578947368421
supply	1	1	0	0.5
wanting	2	1	1	0.666666666667
concern	1	0	1	1.0
butterfly	1	0	1	1.0
altered	1	0	1	1.0
opposite	1	0	1	1.0
knew	2	1	1	0.666666666667
suspects	0	1	-1	1.0
buffet	1	0	1	1.0
invoked	1	0	1	1.0
printed	1	0	1	1.0
pages	1	0	1	1.0
serie	1	0	1	1.0
montage	1	0	1	1.0
phil	1	1	0	0.5
drive	5	2	3	0.714285714286
ways	2	1	1	0.666666666667
fastward	1	0	1	1.0
salt	0	1	-1	1.0
burialburning	0	1	-1	1.0
laws	1	0	1	1.0
madison	0	1	-1	1.0
merit	0	1	-1	1.0
bright	1	0	1	1.0
commissary	1	0	1	1.0
aggressive	0	1	-1	1.0
selfdelusion	1	0	1	1.0
slow	5	3	2	0.625
tears	4	1	3	0.8
going	14	10	4	0.583333333333
directed	4	5	-1	0.555555555556
mcdoakes	2	0	2	1.0
outlet	1	0	1	1.0
hooper	0	1	-1	1.0
prime	1	1	0	0.5
bestselling	0	1	-1	1.0
priest	2	3	-1	0.6
roger	0	1	-1	1.0
bombs	2	0	2	1.0
uncover	0	1	-1	1.0
where	22	17	5	0.564102564103
vision	0	1	-1	1.0
talman	0	1	-1	1.0
dives	1	0	1	1.0
diver	3	0	3	1.0
jumped	1	0	1	1.0
sites	1	0	1	1.0
affecting	1	0	1	1.0
teens	0	3	-3	1.0
jobs	0	1	-1	1.0
uk	2	1	1	0.666666666667
screen	5	1	4	0.833333333333
pointbr	0	1	-1	1.0
framebyframe	1	0	1	1.0
charlottes	1	0	1	1.0
mans	3	3	0	0.5
many	19	16	3	0.542857142857
s	1	0	1	1.0
sacked	0	1	-1	1.0
concentrates	0	1	-1	1.0
expression	1	0	1	1.0
gridiron	0	1	-1	1.0
mann	1	0	1	1.0
boal	0	1	-1	1.0
twin	0	1	-1	1.0
anti	1	0	1	1.0
3000	0	1	-1	1.0
boat	1	1	0	0.5
caring	1	0	1	1.0
combines	1	0	1	1.0
collides	0	1	-1	1.0
west	1	3	-2	0.75
hutton	0	1	-1	1.0
movewhich	0	1	-1	1.0
crawford	0	2	-2	1.0
wants	6	2	4	0.75
thousand	1	0	1	1.0
grayscale	1	0	1	1.0
photos	0	1	-1	1.0
observe	0	1	-1	1.0
former	3	2	1	0.6
consultant	1	0	1	1.0
endures	1	0	1	1.0
squeezes	0	1	-1	1.0
newspaper	1	0	1	1.0
situation	5	5	0	0.5
endured	0	1	-1	1.0
ive	13	5	8	0.722222222222
twists	1	1	0	0.5
bros	1	0	1	1.0
pinky	1	0	1	1.0
fame	2	1	1	0.666666666667
compatriots	1	0	1	1.0
threatens	1	0	1	1.0
mobster	1	0	1	1.0
underestimate	1	0	1	1.0
visually	1	1	0	0.5
cheers	1	0	1	1.0
harris	1	2	-1	0.666666666667
amuck	1	0	1	1.0
advertisement	0	1	-1	1.0
psychiatrists	0	1	-1	1.0
slicing	1	0	1	1.0
undefined	0	1	-1	1.0
vacant	0	1	-1	1.0
pacing	0	1	-1	1.0
trains	1	0	1	1.0
comer	1	0	1	1.0
summer	5	0	5	1.0
sprayed	0	1	-1	1.0
being	14	16	-2	0.533333333333
slime	0	1	-1	1.0
rest	3	1	2	0.75
summed	1	0	1	1.0
weekly	1	0	1	1.0
alarmist	0	2	-2	1.0
hereabouts	0	1	-1	1.0
color	1	0	1	1.0
greenaway	0	1	-1	1.0
ghostly	0	1	-1	1.0
skies	1	0	1	1.0
aspects	2	0	2	1.0
around	13	7	6	0.65
dark	7	2	5	0.777777777778
awol	1	0	1	1.0
world	26	6	20	0.8125
vague	1	0	1	1.0
bravery	1	1	0	0.5
clam	1	0	1	1.0
62	0	1	-1	1.0
offenders	2	0	2	1.0
completest	0	1	-1	1.0
lucio	1	0	1	1.0
diving	3	0	3	1.0
racial	0	2	-2	1.0
thinks	1	2	-1	0.666666666667
dimensions	0	1	-1	1.0
substance	0	2	-2	1.0
riveting	1	0	1	1.0
memories	1	2	-1	0.666666666667
nicole	0	2	-2	1.0
refer	1	0	1	1.0
scientific	1	0	1	1.0
power	4	3	1	0.571428571429
pg13	0	1	-1	1.0
standpoint	1	0	1	1.0
stone	0	1	-1	1.0
industry	2	0	2	1.0
act	5	2	3	0.714285714286
johnston	1	0	1	1.0
luck	1	1	0	0.5
matteroffact	1	0	1	1.0
widowed	1	0	1	1.0
burning	1	1	0	0.5
image	2	2	0	0.5
freaked	0	1	-1	1.0
odonell	1	0	1	1.0
lively	0	1	-1	1.0
portrayal	1	1	0	0.5
rossi	1	0	1	1.0
technically	1	0	1	1.0
mongers	0	1	-1	1.0
her	69	53	16	0.565573770492
hes	3	4	-1	0.571428571429
hey	3	1	2	0.75
myths	1	0	1	1.0
sealed	0	2	-2	1.0
complete	1	2	-1	0.666666666667
fascists	1	0	1	1.0
with	107	82	25	0.566137566138
dardino	1	0	1	1.0
buying	0	2	-2	1.0
handsome	0	2	-2	1.0
rush	1	0	1	1.0
october	1	0	1	1.0
rage	1	0	1	1.0
russ	1	0	1	1.0
politically	0	1	-1	1.0
pulp	0	1	-1	1.0
detailed	0	1	-1	1.0
gone	6	2	4	0.75
ad	0	1	-1	1.0
johnny	3	0	3	1.0
af	1	0	1	1.0
exhausted	1	0	1	1.0
certain	2	0	2	1.0
accents	1	3	-2	0.75
am	7	6	1	0.538461538462
wartime	1	0	1	1.0
an	74	53	21	0.582677165354
happenstance	0	1	-1	1.0
as	139	81	58	0.631818181818
fresnay	1	0	1	1.0
at	74	49	25	0.60162601626
walks	1	1	0	0.5
watched	7	5	2	0.583333333333
cream	1	0	1	1.0
vocational	0	1	-1	1.0
whiners	1	0	1	1.0
2001	1	0	1	1.0
fagrasso	1	0	1	1.0
someones	0	1	-1	1.0
friggin	2	0	2	1.0
bizarrely	0	1	-1	1.0
congress	1	0	1	1.0
mcgovernisms	0	1	-1	1.0
brotherhood	2	0	2	1.0
tricks	0	1	-1	1.0
having	5	5	0	0.5
fraudulent	0	1	-1	1.0
mass	4	0	4	1.0
makepease	0	1	-1	1.0
dyer	0	1	-1	1.0
legislatures	1	0	1	1.0
consider	2	1	1	0.666666666667
caused	1	0	1	1.0
beware	2	0	2	1.0
illicit	0	1	-1	1.0
reasoning	1	0	1	1.0
causes	0	1	-1	1.0
gianetto	1	0	1	1.0
careful	1	0	1	1.0
hunting	0	1	-1	1.0
tv	12	10	2	0.545454545455
to	496	315	181	0.611590628853
chewing	0	1	-1	1.0
nore	2	0	2	1.0
smile	2	1	1	0.666666666667
conciousness	1	0	1	1.0
paying	1	1	0	0.5
puzzled	2	1	1	0.666666666667
hughes	0	2	-2	1.0
documentaries	0	3	-3	1.0
diary	1	1	0	0.5
tigerland	1	0	1	1.0
pbs	1	1	0	0.5
accompanying	1	0	1	1.0
herrings	0	1	-1	1.0
laying	1	0	1	1.0
joined	3	0	3	1.0
large	3	1	2	0.75
sang	3	0	3	1.0
harry	0	1	-1	1.0
small	12	10	2	0.545454545455
maggie	2	0	2	1.0
abbreviated	0	1	-1	1.0
pretenses	1	0	1	1.0
past	6	1	5	0.857142857143
displays	1	0	1	1.0
pass	2	1	1	0.666666666667
richard	2	0	2	1.0
codirected	1	0	1	1.0
scientists	0	1	-1	1.0
corker	1	0	1	1.0
conundrums	1	0	1	1.0
revealing	1	0	1	1.0
full	5	3	2	0.625
escaping	1	0	1	1.0
christophe	1	0	1	1.0
empower	0	1	-1	1.0
portrays	3	0	3	1.0
hours	3	0	3	1.0
concluding	1	0	1	1.0
november	1	0	1	1.0
riviera	1	0	1	1.0
tamblyn	1	0	1	1.0
brutal	2	1	1	0.666666666667
prior	1	1	0	0.5
pick	2	0	2	1.0
action	3	2	1	0.6
skepticism	1	0	1	1.0
ganjagrowing	0	1	-1	1.0
followed	1	0	1	1.0
morbius	1	0	1	1.0
thought	7	3	4	0.7
pulls	1	0	1	1.0
akshay	1	0	1	1.0
sitter	0	3	-3	1.0
unrecognizable	0	1	-1	1.0
6	2	0	2	1.0
streetwiseyetvulnerable	0	1	-1	1.0
more	44	32	12	0.578947368421
teen	0	2	-2	1.0
door	4	1	3	0.8
company	3	3	0	0.5
spoils	1	0	1	1.0
objections	1	0	1	1.0
keeping	2	0	2	1.0
science	3	1	2	0.75
evolved	1	0	1	1.0
learn	5	2	3	0.714285714286
male	1	5	-4	0.833333333333
memoirs	1	0	1	1.0
accept	2	1	1	0.666666666667
mcqueen	1	0	1	1.0
states	1	3	-2	0.75
sense	4	3	1	0.571428571429
rustler	0	1	-1	1.0
plimptonalan	0	1	-1	1.0
huge	1	1	0	0.5
hugs	0	1	-1	1.0
creature	0	2	-2	1.0
aplenty	0	1	-1	1.0
plans	0	1	-1	1.0
countryside	1	0	1	1.0
wiley	2	0	2	1.0
treatments	1	0	1	1.0
soundtrack	0	1	-1	1.0
plane	0	3	-3	1.0
howards	2	0	2	1.0
malevolent	0	1	-1	1.0
adventures	1	0	1	1.0
refuse	2	0	2	1.0
overcooked	0	1	-1	1.0
pans	2	0	2	1.0
mexican	1	0	1	1.0
installed	0	1	-1	1.0
pre1950s	0	1	-1	1.0
grade	0	2	-2	1.0
blaxploitation	1	0	1	1.0
